meal_name,emoji,quick,common_ingredients,variants_json,sides_json,category,image_url
Paella,🥘,,rice;onion;peppers;paprika;chorizo,"[{""name"":""prawn"",""ingredients"":[""prawn""]},{""name"":""chicken"",""ingredients"":[""chicken""]}]","[{""name"":""salad"",""ingredients"":[""salad""]},{""name"":""rustic bread"",""ingredients"":[""rustic bread""]}]",Other mains,https://images.unsplash.com/photo-1650964807311-970cb88d347c?fm=jpg&q=70&w=600&auto=format&fit=crop
Pad Thai,🍲,,pad thai noodles;peppers;spring onion;peanuts;pad thai sauce,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""prawn"",""ingredients"":[""prawn""]},{""name"":""veg"",""ingredients"":[""mushrooms""]}]","[{""name"":""spring rolls"",""ingredients"":[""spring rolls""]},{""name"":""gyoza"",""ingredients"":[""gyoza""]}]",Asian,https://images.unsplash.com/photo-1637806930600-37fa8892069d?fm=jpg&q=70&w=600&auto=format&fit=crop
Pasta Bake,🍝,,tinned tomatoes;onion;carrot;cheese;mascarpone,"[{""name"":""veg"",""ingredients"":[""veg""]},{""name"":""tuna"",""ingredients"":[""tinned tuna""]},{""name"":""chicken"",""ingredients"":[""chicken""]}]","[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]},{""name"":""salad"",""ingredients"":[""salad"",""peppers""]}]",Italian,https://images.unsplash.com/photo-1586779245780-c86b30e10ed0?fm=jpg&q=70&w=600&auto=format&fit=crop
Scampi,🐟,,scampi;chips;mushy peas,[],"[{""name"":""salad"",""ingredients"":[""salad""]}]",British classics,https://images.unsplash.com/photo-1658078367419-11c2cf639094?fm=jpg&q=70&w=600&auto=format&fit=crop
Chilli con carne,🌶️,,tinned tomatoes;onion;carrots;celery;paprika;chilli;cumin;tomato puree;kidney beans,"[{""name"":""beef"",""ingredients"":[""beef"",""beef stock""]},{""name"":""veg"",""ingredients"":[""lentils""]}]","[{""name"":""rice"",""ingredients"":[""rice""]},{""name"":""nachos"",""ingredients"":[""tortilla chips"",""cheese""]}]",Tex-Mex,
Macaroni cheese,🧀,,macaroni;cheese;butter;flour;garlic;paprika;onion;milk,"[{""name"":""chorizo"",""ingredients"":[""chorizo""]},{""name"":""mushroom"",""ingredients"":[""mushroom""]}]","[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]},{""name"":""salad"",""ingredients"":[""salad"",""peppers""]}]",Italian,https://images.unsplash.com/photo-1543339494-b4cd4f7ba686?fm=jpg&q=70&w=600&auto=format&fit=crop
Thai Green Curry,🍲,,lemongrass;thai basil;ginger;garlic;spring onion;green chilli;fish sauce,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""prawn"",""ingredients"":[""prawn""]}]","[{""name"":""rice"",""ingredients"":[""rice""]},{""name"":""spring rolls"",""ingredients"":[""spring rolls""]}]",Asian,
Hot Dogs,🌭,,sausages;finger rolls;onions,[],"[{""name"":""chips"",""ingredients"":[""chips""]},{""name"":""sweet potato fries"",""ingredients"":[""sweet potato""]},{""name"":""sweetcorn"",""ingredients"":[""sweetcorn""]},{""name"":""mac & cheese"",""ingredients"":[""pasta"",""cheese"",""milk"",""flour"",""garlic""]},{""name"":""nachos"",""ingredients"":[""nachos""]}]",British classics,https://images.unsplash.com/photo-1638368593249-7cadb261e8b3?fm=jpg&q=70&w=600&auto=format&fit=crop
Spaghetti Carbonara,🍝,yes,spaghetti;bacon;mushroom;garlic,[],"[{""name"":""garlic bread"",""ingredients"":[""garlic bread""]}]",Italian,https://images.unsplash.com/photo-1588013273468-315fd88ea34c?fm=jpg&q=70&w=600&auto=format&fit=crop
Shakshuka,🍳,yes,tinned tomatoes;peppers;onion;eggs,"[{""name"":""classic"",""ingredients"":[]},{""name"":""with feta"",""ingredients"":[""feta""]}]","[{""name"":""flatbreads"",""ingredients"":[""flatbreads""]},{""name"":""crusty bread"",""ingredients"":[""bread""]}]",Other mains,
Lentil Dhal,🍛,,red lentils;tinned tomatoes;coconut milk;onion;garlic;ginger;garam masala;cumin,"[{""name"":""plain"",""ingredients"":[]},{""name"":""with spinach"",""ingredients"":[""spinach""]}]","[{""name"":""rice"",""ingredients"":[""rice""]},{""name"":""naan/chapati"",""ingredients"":[""naan/chapati""]},{""name"":""yoghurt flatbreads"",""ingredients"":[""self-raising flour"",""yoghurt""]}]",Indian & curries,
Fish Pie,🐟,,white fish;salmon;prawns;potatoes;milk;butter;flour;peas;cheese,"[{""name"":""classic (fish mix)"",""ingredients"":[""white fish"",""salmon"",""prawns""]},{""name"":""simple (white fish)"",""ingredients"":[""white fish""]}]","[{""name"":""peas"",""ingredients"":[""peas""]},{""name"":""broccoli"",""ingredients"":[""broccoli""]}]",British classics,https://images.unsplash.com/photo-1650917331384-1fd06afa3230?fm=jpg&q=70&w=600&auto=format&fit=crop
Fish Tacos,🌮,yes,white fish;tortilla wraps;lime;peppers;cabbage;soured cream,"[{""name"":""battered"",""ingredients"":[""white fish"",""plain flour"",""sparkling water""]},{""name"":""grilled"",""ingredients"":[""white fish""]}]","[{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""avocado""]},{""name"":""sweetcorn"",""ingredients"":[""sweetcorn""]}]",Tex-Mex,https://images.unsplash.com/photo-1512838243191-e81e8f66f1fd?fm=jpg&q=70&w=600&auto=format&fit=crop
Quesadillas,🧀,yes,tortilla wraps;cheese,"[{""name"":""chicken"",""ingredients"":[""chicken""]},{""name"":""veg"",""ingredients"":[""mushrooms"",""peppers""]},{""name"":""cheese only"",""ingredients"":[]}]","[{""name"":""salsa"",""ingredients"":[""tinned tomatoes"",""red onion"",""lime""]},{""name"":""soured cream"",""ingredients"":[""soured cream""]},{""name"":""guacamole"",""ingredients"":[""avocado""]}]",Tex-Mex,https://images.unsplash.com/photo-1618040996337-56904b7850b9?fm=jpg&q=70&w=600&auto=format&fit=crop
Soup,🍲,,onion;carrot;stock,"[{""name"":""tomato"",""ingredients"":[""tinned tomatoes"",""cream""]},{""name"":""lentil"",""ingredients"":[""red lentils""]},{""name"":""chicken noodle"",""ingredients"":[""chicken"",""noodles""]}]","[{""name"":""crusty bread"",""ingredients"":[""bread""]},{""name"":""yoghurt flatbreads"",""ingredients"":[""self-raising flour"",""yoghurt""]}]",British classics,https://images.unsplash.com/photo-1476718406336-bb5a9690ee2a?fm=jpg&q=70&w=600&auto=format&fit=crop
Lamb Kofta Wraps,🥙,yes,lamb mince;onion;garlic;cumin;coriander;flatbreads,"[{""name"":""lamb kofta"",""ingredients"":[""lamb mince""]},{""name"":""chicken shawarma"",""ingredients"":[""chicken""]}]","[{""name"":""hummus"",""ingredients"":[""hummus""]},{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""tomato""]},{""name"":""tzatziki"",""ingredients"":[""yoghurt"",""cucumber"",""garlic""]}]",Other mains,https://images.unsplash.com/photo-1771285119318-b342c3ecc51c?fm=jpg&q=70&w=600&auto=format&fit=crop
Greek Chicken,🫒,,chicken;lemon;garlic;oregano;olive oil,"[{""name"":""with orzo"",""ingredients"":[""orzo""]},{""name"":""with rice"",""ingredients"":[""rice""]}]","[{""name"":""Greek salad"",""ingredients"":[""salad"",""cucumber"",""tomato"",""feta"",""olives""]},{""name"":""flatbreads"",""ingredients"":[""flatbreads""]}]",Other mains,https://images.unsplash.com/photo-1666819476544-38ea4e57a3d0?fm=jpg&q=70&w=600&auto=format&fit=crop
Egg Fried Rice,🍳,,rice;eggs;spring onion;soy sauce;sesame oil;peas,"[{""name"":""plain veg"",""ingredients"":[]},{""name"":""with chicken"",""ingredients"":[""chicken""]},{""name"":""with prawns"",""ingredients"":[""prawns""]}]","[{""name"":""gyoza"",""ingredients"":[""gyoza""]},{""name"":""spring rolls"",""ingredients"":[""spring rolls""]}]",Asian,https://images.unsplash.com/photo-1603133872878-684f208fb84b?fm=jpg&q=70&w=600&auto=format&fit=crop
Frittata,🥚,yes,eggs;cheese;peppers;onion;potatoes,"[{""name"":""classic veg"",""ingredients"":[""peppers"",""onion"",""potatoes""]},{""name"":""with chorizo"",""ingredients"":[""chorizo""]},{""name"":""with ham"",""ingredients"":[""ham""]}]","[{""name"":""salad"",""ingredients"":[""salad"",""cucumber"",""tomato""]},{""name"":""crusty bread"",""ingredients"":[""bread""]}]",Other mains,https://images.unsplash.com/photo-1587900437942-8758241767ef?fm=jpg&q=70&w=600&auto=format&fit=crop
